ID,Raw,Date,Data,Excel Date,
53,"19th February 2006 @ Nambucca, Holloway, London, UK",19th February 2006 ," Nambucca, Holloway, London, UK",19/02/2006,
54,"21st February 2006 @ The Railway Inn, Winchester, UK",21st February 2006 ," The Railway Inn, Winchester, UK",21/02/2006,
55,"23rd February 2006 @ The Registry, Portsmouth, UK",23rd February 2006 ," The Registry, Portsmouth, UK",23/02/2006,
56,"25th February 2006 @ The Windmill, Brixton, London, UK",25th February 2006 ," The Windmill, Brixton, London, UK",25/02/2006,
57,"26th February 2006 @ Bush Hall, London, UK",26th February 2006 ," Bush Hall, London, UK",26/02/2006,
58,"28th February 2006 @ Babylove, Oxford, UK",28th February 2006 ," Babylove, Oxford, UK",28/02/2006,
59,"3rd March 2006 @ The Marquee, Hertford, UK",3rd March 2006 ," The Marquee, Hertford, UK",03/03/2006,
60,"4th March 2006 @ The Square, Harlow, UK",4th March 2006 ," The Square, Harlow, UK",04/03/2006,
61,"5th March 2006 @ The Quicksilver Mail, Yeovil, UK",5th March 2006 ," The Quicksilver Mail, Yeovil, UK",05/03/2006,
62,"6th March 2006 @ The Globe, Brighton, UK",6th March 2006 ," The Globe, Brighton, UK",06/03/2006,
63,"10th March 2006 @ The Roundabout, High Wycombe, UK",10th March 2006 ," The Roundabout, High Wycombe, UK",10/03/2006,
64,"16th March 2006 @ Chinnerys, Southend, UK",16th March 2006 ," Chinnerys, Southend, UK",16/03/2006,
65,"17th March 2006 @ The Angel, Bedford, UK",17th March 2006 ," The Angel, Bedford, UK",17/03/2006,
66,"18th March 2006 @ The Spread Eagle, Shoreditch, London, UK",18th March 2006 ," The Spread Eagle, Shoreditch, London, UK",18/03/2006,
67,"19th March 2006 @ Nambucca, Holloway, London, UK",19th March 2006 ," Nambucca, Holloway, London, UK",19/03/2006,
68,"25th March 2006 @ The Forum, Tunbridge Wells, UK",25th March 2006 ," The Forum, Tunbridge Wells, UK",25/03/2006,
69,"26th March 2006 @ Junktion 7, Nottingham, UK",26th March 2006 ," Junktion 7, Nottingham, UK",26/03/2006,
70,"2nd April 2006 @ The Vic Inn, Swindon, UK",2nd April 2006 ," The Vic Inn, Swindon, UK",02/04/2006,
71,"3rd April 2006 @ The Bell By The Green, Devizes, UK",3rd April 2006 ," The Bell By The Green, Devizes, UK",03/04/2006,
72,"4th April 2006 @ Mr Kyps, Poole, UK",4th April 2006 ," Mr Kyps, Poole, UK",04/04/2006,
73,"5th April 2006 @ The Dove Inn, Winchester, UK",5th April 2006 ," The Dove Inn, Winchester, UK",05/04/2006,
74,"6th April 2006 @ Gander On The Green, Bournemouth, UK",6th April 2006 ," Gander On The Green, Bournemouth, UK",06/04/2006,
75,"7th April 2006 @ The Plantation Cafe, Guildford, UK",7th April 2006 ," The Plantation Cafe, Guildford, UK",07/04/2006,
76,"8th April 2006 @ The Corner Room, Oxford, UK",8th April 2006 ," The Corner Room, Oxford, UK",08/04/2006,
77,"10th April 2006 @ The Joogleberry Playhouse, Brighton, UK",10th April 2006 ," The Joogleberry Playhouse, Brighton, UK",10/04/2006,
78,"11th April 2006 @ The Bedford, Balham, London, UK",11th April 2006 ," The Bedford, Balham, London, UK",11/04/2006,
79,"12th April 2006 @ The Snooty Fox, Canonbury, London, UK",12th April 2006 ," The Snooty Fox, Canonbury, London, UK",12/04/2006,
80,"13th April 2006 @ The Archway Tavern, London, UK",13th April 2006 ," The Archway Tavern, London, UK",13/04/2006,
81,"14th April 2006 @ Meesh’s House, Newbury, UK",14th April 2006 ," Meesh’s House, Newbury, UK",14/04/2006,
82,"15th April 2006 @ The Wheatsheaf, Oxford, UK",15th April 2006 ," The Wheatsheaf, Oxford, UK",15/04/2006,
83,"16th April 2006 @ The Wheatsheaf, Oxford, UK",16th April 2006 ," The Wheatsheaf, Oxford, UK",16/04/2006,
84,"17th April 2006 @ Dingwalls, Camden, London, UK",17th April 2006 ," Dingwalls, Camden, London, UK",17/04/2006,
85,"18th April 2006 @ The Vine, Leeds, UK",18th April 2006 ," The Vine, Leeds, UK",18/04/2006,
86,"19th April 2006 @ Whistlebinkies, Edinburgh, UK",19th April 2006 ," Whistlebinkies, Edinburgh, UK",19/04/2006,
87,"22nd April 2006 @ Cafe Drummond, Aberdeen, UK",22nd April 2006 ," Cafe Drummond, Aberdeen, UK",22/04/2006,
88,"23rd April 2006 @ Magnet, Liverpool, UK",23rd April 2006 ," Magnet, Liverpool, UK",23/04/2006,
89,"24th April 2006 @ The Jailhouse, Coventry, UK",24th April 2006 ," The Jailhouse, Coventry, UK",24/04/2006,
90,"25th April 2006 @ The Shed, Dudley, UK",25th April 2006 ," The Shed, Dudley, UK",25/04/2006,
91,"26th April 2006 @ The Retro Bar, Manchester, UK",26th April 2006 ," The Retro Bar, Manchester, UK",26/04/2006,
92,"27th April 2006 @ Bar Tantra, Cardiff, UK",27th April 2006 ," Bar Tantra, Cardiff, UK",27/04/2006,
93,"30th April 2006 @ The Louisiana, Bristol, UK",30th April 2006 ," The Louisiana, Bristol, UK",30/04/2006,
94,"1st May 2006 @ The Watering Hole, Perranporth, UK",1st May 2006 ," The Watering Hole, Perranporth, UK",01/05/2006,
95,"2nd May 2006 @ The Student’s Union, Plymouth, UK",2nd May 2006 ," The Student’s Union, Plymouth, UK",02/05/2006,
96,"3rd May 2006 @ The Student’s Union, Exmouth, UK",3rd May 2006 ," The Student’s Union, Exmouth, UK",03/05/2006,
97,"4th May 2006 @ The Loft Bar, Cambridge, UK",4th May 2006 ," The Loft Bar, Cambridge, UK",04/05/2006,
98,"5th May 2006 @ Riffs Bar, Swindon, UK",5th May 2006 ," Riffs Bar, Swindon, UK",05/05/2006,
99,"13th May 2006 @ L’Empreinte, Savigny-le-Temple, France",13th May 2006 ," L’Empreinte, Savigny-le-Temple, France",13/05/2006,
100,"14th May 2006 @ Le Baiser Sale, Paris, France",14th May 2006 ," Le Baiser Sale, Paris, France",14/05/2006,
101,"15th May 2006 @ Le Nouveau Casino, Paris, France",15th May 2006 ," Le Nouveau Casino, Paris, France",15/05/2006,
102,"16th May 2006 @ Le Va Zen, Lille, France",16th May 2006 ," Le Va Zen, Lille, France",16/05/2006,
103,"17th May 2006 @ Le Mechanisme Dubitatif, Lille, France",17th May 2006 ," Le Mechanisme Dubitatif, Lille, France",17/05/2006,
104,"18th May 2006 @ Le Bouchon, Tournai, Belgium",18th May 2006 ," Le Bouchon, Tournai, Belgium",18/05/2006,
105,"19th May 2006 @ La Cuve A Biere, Mouscron, Belgium",19th May 2006 ," La Cuve A Biere, Mouscron, Belgium",19/05/2006,
106,"20th May 2006 @ Saphir 21, Paris, France",20th May 2006 ," Saphir 21, Paris, France",20/05/2006,
107,"20th May 2006 @ Le Nouveau Casino, Paris, France",20th May 2006 ," Le Nouveau Casino, Paris, France",20/05/2006,
108,"23rd May 2006 @ Le Munich, Annecy, France",23rd May 2006 ," Le Munich, Annecy, France",23/05/2006,
109,"24th May 2006 @ L’Ile Aux Tresors, Limoges, France",24th May 2006 ," L’Ile Aux Tresors, Limoges, France",24/05/2006,
110,"25th May 2006 @ Le Fiacre, Bordeaux, France",25th May 2006 ," Le Fiacre, Bordeaux, France",25/05/2006,
111,"26th May 2006 @ Blagnac Festival, Toulouse, France",26th May 2006 ," Blagnac Festival, Toulouse, France",26/05/2006,
112,"27th May 2006 @ Yakha Vivre Libre Festival, Pannisierres, France",27th May 2006 ," Yakha Vivre Libre Festival, Pannisierres, France",27/05/2006,
113,"28th May 2006 @ Nambucca, Holloway, London, UK",28th May 2006 ," Nambucca, Holloway, London, UK",28/05/2006,
114,"29th May 2006 @ Coleford Music Festival, Forest Of Dean, UK",29th May 2006 ," Coleford Music Festival, Forest Of Dean, UK",29/05/2006,
115,"3rd June 2006 @ The Barge, Battersea, London, UK",3rd June 2006 ," The Barge, Battersea, London, UK",03/06/2006,
116,"4th June 2006 @ The Lock Tavern, Camden, London, UK",4th June 2006 ," The Lock Tavern, Camden, London, UK",04/06/2006,
117,"4th June 2006 @ The Buffalo Bar, Islington, London, UK",4th June 2006 ," The Buffalo Bar, Islington, London, UK",04/06/2006,
118,"5th June 2006 @ The Hangar, Scunthorpe, UK",5th June 2006 ," The Hangar, Scunthorpe, UK",05/06/2006,
119,"6th June 2006 @ The Brudenell Social, Leeds, UK",6th June 2006 ," The Brudenell Social, Leeds, UK",06/06/2006,
120,"8th June 2006 @ Sandino’s, Derry, Northern Ireland",8th June 2006 ," Sandino’s, Derry, Northern Ireland",08/06/2006,
121,"8th June 2006 @ Dicey’s, Strabane, Northern Ireland",8th June 2006 ," Dicey’s, Strabane, Northern Ireland",08/06/2006,
122,"9th June 2006 @ The Nerve Centre, Derry, Northern Ireland",9th June 2006 ," The Nerve Centre, Derry, Northern Ireland",09/06/2006,
123,"10th June 2006 @ The Iveagh, Dublin, Ireland",10th June 2006 ," The Iveagh, Dublin, Ireland",10/06/2006,
124,"11th June 2006 @ Auntie Annie’s, Belfast, Northern Ireland",11th June 2006 ," Auntie Annie’s, Belfast, Northern Ireland",11/06/2006,
125,"14th June 2006 @ Banquet Records, Kingston-Upon-Thames, UK",14th June 2006 ," Banquet Records, Kingston-Upon-Thames, UK",14/06/2006,
126,"14th June 2006 @ The Peel, Kingston-Upon-Thames, UK",14th June 2006 ," The Peel, Kingston-Upon-Thames, UK",14/06/2006,
127,"17th June 2006 @ Lexapalooza, GJs, Colliers Wood, London, UK",17th June 2006 ," Lexapalooza, GJs, Colliers Wood, London, UK",17/06/2006,
128,"23rd June 2006 @ Glastoshot, The West End Centre, Aldershot, UK",23rd June 2006 ," Glastoshot, The West End Centre, Aldershot, UK",23/06/2006,
129,"27th June 2006 @ The Portman Hotel, Bournemouth, UK",27th June 2006 ," The Portman Hotel, Bournemouth, UK",27/06/2006,
130,"29th June 2006 @ Unit 22, Southampton, UK",29th June 2006 ," Unit 22, Southampton, UK",29/06/2006,
131,"30th June 2006 @ The Football Club, Camberley, UK",30th June 2006 ," The Football Club, Camberley, UK",30/06/2006,
132,"1st July 2006 @ The Barn, Salisbury, UK",1st July 2006 ," The Barn, Salisbury, UK",01/07/2006,
133,"2nd July 2006 @ The Cellar Bar, Bracknell, UK",2nd July 2006 ," The Cellar Bar, Bracknell, UK",02/07/2006,
134,"3rd July 2006 @ Fibbers, York, UK",3rd July 2006 ," Fibbers, York, UK",03/07/2006,
135,"4th July 2006 @ The Old Angel, Nottingham, UK",4th July 2006 ," The Old Angel, Nottingham, UK",04/07/2006,
136,"5th July 2006 @ The Star and Garter, Manchester, UK",5th July 2006 ," The Star and Garter, Manchester, UK",05/07/2006,
137,"6th July 2006 @ The Dog and Parrot, Newcastle, UK",6th July 2006 ," The Dog and Parrot, Newcastle, UK",06/07/2006,
138,"7th July 2006 @ The Firebug, Leicester, UK",7th July 2006 ," The Firebug, Leicester, UK",07/07/2006,
139,"8th July 2006 @ The Ski Lodge, Yeovil, UK",8th July 2006 ," The Ski Lodge, Yeovil, UK",08/07/2006,
140,"9th July 2006 @ The Recreation Centre, Bridgend, UK",9th July 2006 ," The Recreation Centre, Bridgend, UK",09/07/2006,
141,"10th July 2006 @ Scruffy Murphys, Birmingham, UK",10th July 2006 ," Scruffy Murphys, Birmingham, UK",10/07/2006,
142,"11th July 2006 @ The Barfly, Glasgow, UK",11th July 2006 ," The Barfly, Glasgow, UK",11/07/2006,
143,"12th July 2006 @ The West, Huddersfield, UK",12th July 2006 ," The West, Huddersfield, UK",12/07/2006,
144,"13th July 2006 @ The Cavern, Exeter, UK",13th July 2006 ," The Cavern, Exeter, UK",13/07/2006,
145,"15th July 2006 @ Latitude Festival, Suffolk, UK",15th July 2006 ," Latitude Festival, Suffolk, UK",15/07/2006,
146,"16th July 2006 @ The Railway Inn, Winchester, UK",16th July 2006 ," The Railway Inn, Winchester, UK",16/07/2006,
147,"21st July 2006 @ Fonofest, Cesis, Latvia",21st July 2006 ," Fonofest, Cesis, Latvia",21/07/2006,
148,"22nd July 2006 @ Tuntuma Festival, Lohja, Finland",22nd July 2006 ," Tuntuma Festival, Lohja, Finland",22/07/2006,
149,"24th July 2006 @ Platforma, St Petersburg, Russia",24th July 2006 ," Platforma, St Petersburg, Russia",24/07/2006,
150,"26th July 2006 @ Tabula Rasa, Moscow, Russia",26th July 2006 ," Tabula Rasa, Moscow, Russia",26/07/2006,
151,"27th July 2006 @ j’Est, Moscow, Russia",27th July 2006 ," j’Est, Moscow, Russia",27/07/2006,
152,"30th July 2006 @ Cafe de Paris, Vilnius, Lithuania",30th July 2006 ," Cafe de Paris, Vilnius, Lithuania",30/07/2006,
153,"1st August 2006 @ The Depo, Riga, Latvia",1st August 2006 ," The Depo, Riga, Latvia",01/08/2006,
154,"2nd August 2006 @ The Reggae Baar, Talinn, Estonia",2nd August 2006 ," The Reggae Baar, Talinn, Estonia",02/08/2006,
155,"4th August 2006 @ Fontaine Palace, Liepaja, Latvia",4th August 2006 ," Fontaine Palace, Liepaja, Latvia",04/08/2006,
156,"5th August 2006 @ Ramybe, Palanga, Lithuania",5th August 2006 ," Ramybe, Palanga, Lithuania",05/08/2006,
157,"6th August 2006 @ The New Theatre, Riga, Latvia",6th August 2006 ," The New Theatre, Riga, Latvia",06/08/2006,
158,"8th August 2006 @ The Barfly, Camden, London, UK",8th August 2006 ," The Barfly, Camden, London, UK",08/08/2006,
159,"9th August 2006 @ Adam’s house, Northampton, UK",9th August 2006 ," Adam’s house, Northampton, UK",09/08/2006,
160,"10th August 2006 @ Central Station, Wrexham, UK",10th August 2006 ," Central Station, Wrexham, UK",10/08/2006,
161,"11th August 2006 @ Wasted Festival, Blackpool, UK",11th August 2006 ," Wasted Festival, Blackpool, UK",11/08/2006,
162,"22nd August 2006 @ The Barfly, Camden, London, UK",22nd August 2006 ," The Barfly, Camden, London, UK",22/08/2006,
163,"3rd September 2006 @ The Lock Tavern, Camden, London, UK",3rd September 2006 ," The Lock Tavern, Camden, London, UK",03/09/2006,
164,"16th September 2006 @ 93 Feet East, London, UK",16th September 2006 ," 93 Feet East, London, UK",16/09/2006,
165,"16th September 2006 @ Farmageddon Festival, Cambridge, UK",16th September 2006 ," Farmageddon Festival, Cambridge, UK",16/09/2006,
166,"23rd September 2006 @ The West End Centre, Aldershot, UK",23rd September 2006 ," The West End Centre, Aldershot, UK",23/09/2006,
167,"28th September 2006 @ The Works, Kingston-Upon-Thames, UK",28th September 2006 ," The Works, Kingston-Upon-Thames, UK",28/09/2006,
168,"4th October 2006 @ The Windmill, Brixton, London, UK",4th October 2006 ," The Windmill, Brixton, London, UK",04/10/2006,
169,"9th October 2006 @ The Hub, Exeter, UK",9th October 2006 ," The Hub, Exeter, UK",09/10/2006,
170,"14th October 2006 @ The Tap n Tin, Chatham, UK",14th October 2006 ," The Tap n Tin, Chatham, UK",14/10/2006,
171,"19th October 2006 @ The Astoria, London, UK",19th October 2006 ," The Astoria, London, UK",19/10/2006,
172,"19th October 2006 @ The Proud Galleries, Camden, London, UK",19th October 2006 ," The Proud Galleries, Camden, London, UK",19/10/2006,
173,"20th October 2006 @ The Leadmill, Sheffield, UK",20th October 2006 ," The Leadmill, Sheffield, UK",20/10/2006,
174,"21st October 2006 @ The Horwood Bar, Keele University, UK",21st October 2006 ," The Horwood Bar, Keele University, UK",21/10/2006,
175,"22nd October 2006 @ The Academy, Bristol, UK",22nd October 2006 ," The Academy, Bristol, UK",22/10/2006,
176,"23rd October 2006 @ Cardiff University, UK",23rd October 2006 ," Cardiff University, UK",23/10/2006,
177,"24th October 2006 @ The Dome, Brighton, UK",24th October 2006 ," The Dome, Brighton, UK",24/10/2006,
178,"25th October 2006 @ The Night Owl, Cheltenham, UK",25th October 2006 ," The Night Owl, Cheltenham, UK",25/10/2006,
179,"26th October 2006 @ Brookes University, Oxford, UK",26th October 2006 ," Brookes University, Oxford, UK",26/10/2006,
180,"27th October 2006 @ The Old Firestation, Bournemouth, UK",27th October 2006 ," The Old Firestation, Bournemouth, UK",27/10/2006,
181,"28th October 2006 @ The Lamb Inn, Devizes, UK",28th October 2006 ," The Lamb Inn, Devizes, UK",28/10/2006,
182,"29th October 2006 @ The Fighing Cocks, Kingston-Upon-Thames, UK",29th October 2006 ," The Fighing Cocks, Kingston-Upon-Thames, UK",29/10/2006,
183,"30th October 2006 @ The Market Hall, Brecon, UK",30th October 2006 ," The Market Hall, Brecon, UK",30/10/2006,
184,"31st October 2006 @ Warwick University, UK",31st October 2006 ," Warwick University, UK",31/10/2006,
185,"1st November 2006 @ Aberystwyth University, UK",1st November 2006 ," Aberystwyth University, UK",01/11/2006,
186,"2nd November 2006 @ The Hobgoblin, Bath, UK",2nd November 2006 ," The Hobgoblin, Bath, UK",02/11/2006,
187,"3rd November 2006 @ The Forum, London, UK",3rd November 2006 ," The Forum, London, UK",03/11/2006,
188,"10th November 2006 @ The Furnace, Swindon, UK",10th November 2006 ," The Furnace, Swindon, UK",10/11/2006,
189,"12th November 2006 @ Mad Hatters, Inverness, UK",12th November 2006 ," Mad Hatters, Inverness, UK",12/11/2006,
190,"13th November 2006 @ The Tunnels, Aberdeen, UK",13th November 2006 ," The Tunnels, Aberdeen, UK",13/11/2006,
191,"14th November 2006 @ The Warehouse Theatre, Lossiemouth, UK",14th November 2006 ," The Warehouse Theatre, Lossiemouth, UK",14/11/2006,
192,"15th November 2006 @ Satchmos, Dundee, UK",15th November 2006 ," Satchmos, Dundee, UK",15/11/2006,
193,"16th November 2006 @ Bar Bloc, Glasgow, UK",16th November 2006 ," Bar Bloc, Glasgow, UK",16/11/2006,
194,"20th November 2006 @ The Jericho Tavern, Oxford, UK",20th November 2006 ," The Jericho Tavern, Oxford, UK",20/11/2006,
195,"24th November 2006 @ The Sun Inn, Dunsford, UK",24th November 2006 ," The Sun Inn, Dunsford, UK",24/11/2006,
196,"25th November 2006 @ The Windmill, Brixton, London, UK",25th November 2006 ," The Windmill, Brixton, London, UK",25/11/2006,
197,"26th November 2006 @ The Vibe Bar, Shoreditch, London, UK",26th November 2006 ," The Vibe Bar, Shoreditch, London, UK",26/11/2006,
198,"26th November 2006 @ The Square, Harlow, UK",26th November 2006 ," The Square, Harlow, UK",26/11/2006,
199,"16th December 2006 @ The Peel, Kingston-Upon-Thames, UK",16th December 2006 ," The Peel, Kingston-Upon-Thames, UK",16/12/2006,
200,"19th December 2006 @ Meonstoke Primary School, Hampshire, UK",19th December 2006 ," Meonstoke Primary School, Hampshire, UK",19/12/2006,
201,"31st December 2006 @ j’Est, Moscow, Russia",31st December 2006 ," j’Est, Moscow, Russia",31/12/2006,
202,"1st January 2007 @ Bilingua, Moscow, Russia",1st January 2007 ," Bilingua, Moscow, Russia",01/01/2007,
203,"2nd January 2007 @ Krisis Jhanra, Moscow, Russia",2nd January 2007 ," Krisis Jhanra, Moscow, Russia",02/01/2007,
204,"9th January 2007 @ Tomus’ Birthday, Pop, London, UK",9th January 2007 ," Tomus’ Birthday, Pop, London, UK",09/01/2007,
205,"15th January 2007 @ Fopp Records, Westbourne Grove, London, UK",15th January 2007 ," Fopp Records, Westbourne Grove, London, UK",15/01/2007,
206,"15th January 2007 @ Fopp Records, Camden, London, UK",15th January 2007 ," Fopp Records, Camden, London, UK",15/01/2007,
207,"15th January 2007 @ Fopp Records, Covent Garden, London, UK",15th January 2007 ," Fopp Records, Covent Garden, London, UK",15/01/2007,
208,"15th January 2007 @ Fopp Records, Tottenham Court Road, London, UK",15th January 2007 ," Fopp Records, Tottenham Court Road, London, UK",15/01/2007,
209,"15th January 2007 @ Nambucca, Holloway, London, UK",15th January 2007 ," Nambucca, Holloway, London, UK",15/01/2007,
210,"16th January 2007 @ Puregroove Records, Holloway, London, UK",16th January 2007 ," Puregroove Records, Holloway, London, UK",16/01/2007,
211,"17th January 2007 @ Banquet Records, Kingston-Upon-Thames, UK",17th January 2007 ," Banquet Records, Kingston-Upon-Thames, UK",17/01/2007,
212,"20th January 2007 @ The Port Mahon, Oxford, UK",20th January 2007 ," The Port Mahon, Oxford, UK",20/01/2007,
213,"24th January 2007 @ Josephs Well, Leeds, UK",24th January 2007 ," Josephs Well, Leeds, UK",24/01/2007,
214,"25th January 2007 @ 53 Degrees, Preston, UK",25th January 2007 ," 53 Degrees, Preston, UK",25/01/2007,
215,"26th January 2007 @ The Brickyard, Carlisle, UK",26th January 2007 ," The Brickyard, Carlisle, UK",26/01/2007,
216,"27th January 2007 @ XFM All-Dayer, The Barfly, London, UK",27th January 2007 ," XFM All-Dayer, The Barfly, London, UK",27/01/2007,
217,"28th January 2007 @ Th Social, Nottingham, UK",28th January 2007 ," Th Social, Nottingham, UK",28/01/2007,
218,"29th January 2007 @ The Night & Day Cafe, Manchester, UK",29th January 2007 ," The Night & Day Cafe, Manchester, UK",29/01/2007,
219,"30th January 2007 @ One-Up Records, Aberdeen, UK",30th January 2007 ," One-Up Records, Aberdeen, UK",30/01/2007,
220,"30th January 2007 @ The Tunnels, Aberdeen, UK",30th January 2007 ," The Tunnels, Aberdeen, UK",30/01/2007,
221,"31st January 2007 @ The Academy 2, Newcastle, UK",31st January 2007 ," The Academy 2, Newcastle, UK",31/01/2007,
222,"1st February 2007 @ Avalanche Records, Glasgow, UK",1st February 2007 ," Avalanche Records, Glasgow, UK",01/02/2007,
223,"1st February 2007 @ Nice n Sleazys, Glasgow, UK",1st February 2007 ," Nice n Sleazys, Glasgow, UK",01/02/2007,
